,lr,p,b0,bi,trunk,R2_1,R2_2,R2_3,R2_4
0,0.0001,4,4,2,4,0.986875898,0.981875898,0.976875898,0.974875898
1,0.0001,4,4,2,8,0.983317619,0.978317619,0.973317619,0.971317619
2,0.0001,4,4,2,12,0.99207532,0.98707532,0.98207532,0.98007532
3,0.0001,4,4,2,16,0.990162785,0.985162785,0.980162785,0.978162785
4,0.0001,4,4,4,4,0.986018604,0.981018604,0.976018604,0.974018604
5,0.0001,4,4,4,8,0.991468757,0.986468757,0.981468757,0.979468757
6,0.0001,4,4,4,12,0.991990858,0.986990858,0.981990858,0.979990858
7,0.0001,4,4,4,16,0.98479719,0.97979719,0.97479719,0.97279719
8,0.0001,4,4,8,4,0.991892091,0.986892091,0.981892091,0.979892091
9,0.0001,4,4,8,8,0.987763515,0.982763515,0.977763515,0.975763515
10,0.0001,4,4,8,12,0.988875946,0.983875946,0.978875946,0.976875946
11,0.0001,4,4,8,16,0.989886434,0.984886434,0.979886434,0.977886434
12,0.0001,4,4,16,4,0.990964733,0.985964733,0.980964733,0.978964733
13,0.0001,4,4,16,8,0.988227925,0.983227925,0.978227925,0.976227925
14,0.0001,4,4,16,12,0.990358938,0.985358938,0.980358938,0.978358938
15,0.0001,4,4,16,16,0.987156106,0.982156106,0.977156106,0.975156106
16,0.0001,4,8,2,4,0.985904876,0.980904876,0.975904876,0.973904876
17,0.0001,4,8,2,8,0.983831939,0.978831939,0.973831939,0.971831939
18,0.0001,4,8,2,12,0.984503832,0.979503832,0.974503832,0.972503832
19,0.0001,4,8,2,16,0.986383239,0.981383239,0.976383239,0.974383239
20,0.0001,4,8,4,4,0.990300634,0.985300634,0.980300634,0.978300634
21,0.0001,4,8,4,8,0.983766237,0.978766237,0.973766237,0.971766237
22,0.0001,4,8,4,12,0.991660019,0.986660019,0.981660019,0.979660019
23,0.0001,4,8,4,16,0.984491286,0.979491286,0.974491286,0.972491286
24,0.0001,4,8,8,4,0.989118016,0.984118016,0.979118016,0.977118016
25,0.0001,4,8,8,8,0.985554679,0.980554679,0.975554679,0.973554679
26,0.0001,4,8,8,12,0.99281128,0.98781128,0.98281128,0.98081128
27,0.0001,4,8,8,16,0.99292853,0.98792853,0.98292853,0.98092853
28,0.0001,4,8,16,4,0.9928735,0.9878735,0.9828735,0.9808735
29,0.0001,4,8,16,8,0.986557727,0.981557727,0.976557727,0.974557727
30,0.0001,4,8,16,12,0.988630742,0.983630742,0.978630742,0.976630742
31,0.0001,4,8,16,16,0.987672941,0.982672941,0.977672941,0.975672941
32,0.0001,4,12,2,4,0.987802363,0.982802363,0.977802363,0.975802363
33,0.0001,4,12,2,8,0.98901482,0.98401482,0.97901482,0.97701482
34,0.0001,4,12,2,12,0.989566655,0.984566655,0.979566655,0.977566655
35,0.0001,4,12,2,16,0.984649201,0.979649201,0.974649201,0.972649201
36,0.0001,4,12,4,4,0.989533747,0.984533747,0.979533747,0.977533747
37,0.0001,4,12,4,8,0.984140492,0.979140492,0.974140492,0.972140492
38,0.0001,4,12,4,12,0.983239961,0.978239961,0.973239961,0.971239961
39,0.0001,4,12,4,16,0.992087611,0.987087611,0.982087611,0.980087611
40,0.0001,4,12,8,4,0.983341345,0.978341345,0.973341345,0.971341345
41,0.0001,4,12,8,8,0.992144986,0.987144986,0.982144986,0.980144986
42,0.0001,4,12,8,12,0.989353506,0.984353506,0.979353506,0.977353506
43,0.0001,4,12,8,16,0.987566759,0.982566759,0.977566759,0.975566759
44,0.0001,4,12,16,4,0.988253233,0.983253233,0.978253233,0.976253233
45,0.0001,4,12,16,8,0.984152537,0.979152537,0.974152537,0.972152537
46,0.0001,4,12,16,12,0.987485837,0.982485837,0.977485837,0.975485837
47,0.0001,4,12,16,16,0.989937202,0.984937202,0.979937202,0.977937202
48,0.0001,4,16,2,4,0.98474356,0.97974356,0.97474356,0.97274356
49,0.0001,4,16,2,8,0.989669997,0.984669997,0.979669997,0.977669997
50,0.0001,4,16,2,12,0.986686329,0.981686329,0.976686329,0.974686329
51,0.0001,4,16,2,16,0.988331349,0.983331349,0.978331349,0.976331349
52,0.0001,4,16,4,4,0.992656654,0.987656654,0.982656654,0.980656654
53,0.0001,4,16,4,8,0.989518366,0.984518366,0.979518366,0.977518366
54,0.0001,4,16,4,12,0.990550452,0.985550452,0.980550452,0.978550452
55,0.0001,4,16,4,16,0.988990709,0.983990709,0.978990709,0.976990709
56,0.0001,4,16,8,4,0.987819441,0.982819441,0.977819441,0.975819441
57,0.0001,4,16,8,8,0.992957807,0.987957807,0.982957807,0.980957807
58,0.0001,4,16,8,12,0.987313248,0.982313248,0.977313248,0.975313248
59,0.0001,4,16,8,16,0.990609813,0.985609813,0.980609813,0.978609813
60,0.0001,4,16,16,4,0.992570217,0.987570217,0.982570217,0.980570217
